<TICKER>,<DTYYYYMMDD>,<CLOSE>
همراه-ت,20180325,5865.27
همراه-ت,20180326,5860.42
همراه-ت,20180327,5852.66
همراه-ت,20180328,5836.80
همراه-ت,20180403,5829.04
همراه-ت,20180404,5816.75
همراه-ت,20180407,5786.02
همراه-ت,20180408,5746.87
همراه-ت,20180409,5669.88
همراه-ت,20180410,5658.24
همراه-ت,20180411,5747.20
همراه-ت,20180415,5764.02
همراه-ت,20180416,5793.78
همراه-ت,20180417,5747.52
همراه-ت,20180418,5744.61
همراه-ت,20180421,5710.64
همراه-ت,20180422,5660.50
همراه-ت,20180423,5616.50
همراه-ت,20180424,5600.98
همراه-ت,20180425,5620.06
همراه-ت,20180428,5620.06
همراه-ت,20180429,5620.06
همراه-ت,20180430,5620.06
همراه-ت,20180501,5620.06
همراه-ت,20180505,5620.06
همراه-ت,20180506,5644.22
همراه-ت,20180507,5598.68
همراه-ت,20180508,5578.88
همراه-ت,20180509,5638.67
همراه-ت,20180512,5655.70
همراه-ت,20180513,5717.47
همراه-ت,20180514,5717.08
همراه-ت,20180515,5716.68
همراه-ت,20180516,5717.47
همراه-ت,20180519,5647.78
همراه-ت,20180520,5635.90
همراه-ت,20180521,5637.88
همراه-ت,20180522,5638.28
همراه-ت,20180523,5627.59
همراه-ت,20180526,5620.85
همراه-ت,20180527,5598.68
همراه-ت,20180528,5591.95
همراه-ت,20180529,5564.63
همراه-ت,20180530,5543.64
همراه-ت,20180602,5555.52
همراه-ت,20180603,5561.06
همراه-ت,20180609,5545.62
همراه-ت,20180610,5519.88
همراه-ت,20180611,5497.71
همراه-ت,20180612,5460.49
همراه-ت,20180613,5496.92
همراه-ت,20180617,5554.33
همراه-ت,20180618,5597.10
همراه-ت,20180619,5606.60
همراه-ت,20180620,5598.28
همراه-ت,20180623,5576.90
همراه-ت,20180624,5521.47
همراه-ت,20180625,5500.08
همراه-ت,20180626,5540.47
همراه-ت,20180627,5531.76
همراه-ت,20180630,5562.65
