<TICKER>,<DTYYYYMMDD>,<CLOSE>
فملي-ت,20180325,659.13
فملي-ت,20180326,645.38
فملي-ت,20180327,647.63
فملي-ت,20180328,650.63
فملي-ت,20180403,653.88
فملي-ت,20180404,662.38
فملي-ت,20180407,671.88
فملي-ت,20180408,670.38
فملي-ت,20180409,683.13
فملي-ت,20180410,670.13
فملي-ت,20180411,673.38
فملي-ت,20180415,668.38
فملي-ت,20180416,670.13
فملي-ت,20180417,669.38
فملي-ت,20180418,665.38
فملي-ت,20180421,662.88
فملي-ت,20180422,653.88
فملي-ت,20180423,652.38
فملي-ت,20180424,647.13
فملي-ت,20180425,634.62
فملي-ت,20180428,623.12
فملي-ت,20180429,627.12
فملي-ت,20180430,628.87
فملي-ت,20180501,629.87
فملي-ت,20180505,623.62
فملي-ت,20180506,615.87
فملي-ت,20180507,617.12
فملي-ت,20180508,624.37
فملي-ت,20180509,626.37
فملي-ت,20180512,630.12
فملي-ت,20180513,626.87
فملي-ت,20180514,629.87
فملي-ت,20180515,628.87
فملي-ت,20180516,630.12
فملي-ت,20180519,629.37
فملي-ت,20180520,627.62
فملي-ت,20180521,630.37
فملي-ت,20180522,626.62
فملي-ت,20180523,626.37
فملي-ت,20180526,641.38
فملي-ت,20180527,643.88
فملي-ت,20180528,643.38
فملي-ت,20180529,650.38
فملي-ت,20180530,651.38
فملي-ت,20180602,652.88
فملي-ت,20180603,654.38
فملي-ت,20180609,678.13
فملي-ت,20180610,678.38
فملي-ت,20180611,679.13
فملي-ت,20180612,690.64
فملي-ت,20180613,724.64
فملي-ت,20180617,724.64
فملي-ت,20180618,724.64
فملي-ت,20180619,868.92
فملي-ت,20180620,857.67
فملي-ت,20180623,833.41
فملي-ت,20180624,865.17
فملي-ت,20180625,903.43
فملي-ت,20180626,869.92
فملي-ت,20180627,837.66
فملي-ت,20180630,825.16
فملي-ت,20180701,786.65
فملي-ت,20180702,804.66
فملي-ت,20180703,823.41
فملي-ت,20180704,817.91
فملي-ت,20180707,817.91
فملي-ت,20180708,817.91
فملي-ت,20180710,817.91
فملي-ت,20180711,721.47
فملي-ت,20180714,693.17
فملي-ت,20180715,686.61
فملي-ت,20180716,683.73
فملي-ت,20180717,668.53
فملي-ت,20180718,650.97
فملي-ت,20180721,655.17
فملي-ت,20180722,687.93
فملي-ت,20180723,694.48
فملي-ت,20180724,699.98
فملي-ت,20180725,719.64
فملي-ت,20180726,719.64
فملي-ت,20180727,719.64
فملي-ت,20180728,755.54
