<TICKER>,<DTYYYYMMDD>,<CLOSE>
حكشتي-ت,20180325,2730.00
حكشتي-ت,20180326,2730.00
حكشتي-ت,20180327,2728.54
حكشتي-ت,20180328,2725.62
حكشتي-ت,20180403,2722.71
حكشتي-ت,20180404,2722.71
حكشتي-ت,20180407,2721.98
حكشتي-ت,20180408,2721.25
حكشتي-ت,20180409,2716.87
حكشتي-ت,20180410,2716.15
حكشتي-ت,20180411,2713.96
حكشتي-ت,20180415,2713.23
حكشتي-ت,20180416,2710.31
حكشتي-ت,20180417,2707.40
حكشتي-ت,20180418,2705.21
حكشتي-ت,20180421,2687.71
حكشتي-ت,20180422,2684.79
حكشتي-ت,20180423,2681.87
حكشتي-ت,20180424,2680.42
حكشتي-ت,20180425,2635.94
حكشتي-ت,20180428,2589.27
حكشتي-ت,20180429,2514.90
حكشتي-ت,20180430,2517.81
حكشتي-ت,20180501,2518.54
حكشتي-ت,20180505,2518.54
حكشتي-ت,20180506,2516.35
حكشتي-ت,20180507,2510.52
حكشتي-ت,20180508,2519.27
حكشتي-ت,20180509,2529.48
حكشتي-ت,20180512,2525.83
حكشتي-ت,20180513,2526.56
حكشتي-ت,20180514,2526.56
حكشتي-ت,20180515,2527.29
حكشتي-ت,20180516,2528.02
حكشتي-ت,20180519,2528.75
حكشتي-ت,20180520,2529.48
حكشتي-ت,20180521,2530.21
حكشتي-ت,20180522,2531.67
حكشتي-ت,20180523,2532.40
حكشتي-ت,20180526,2536.04
حكشتي-ت,20180527,2537.50
حكشتي-ت,20180528,2540.42
حكشتي-ت,20180529,2544.79
حكشتي-ت,20180530,2546.98
حكشتي-ت,20180602,2575.42
حكشتي-ت,20180603,2579.79
حكشتي-ت,20180609,2584.17
حكشتي-ت,20180610,2590.00
حكشتي-ت,20180611,2591.46
حكشتي-ت,20180612,2590.73
حكشتي-ت,20180613,2590.73
حكشتي-ت,20180617,2592.92
حكشتي-ت,20180618,2600.21
حكشتي-ت,20180619,2600.21
حكشتي-ت,20180620,2594.37
حكشتي-ت,20180623,2595.10
حكشتي-ت,20180624,2596.56
حكشتي-ت,20180625,2595.83
حكشتي-ت,20180626,2590.73
حكشتي-ت,20180627,2587.08
حكشتي-ت,20180630,2584.90
حكشتي-ت,20180701,2572.50
حكشتي-ت,20180702,2604.58
حكشتي-ت,20180703,2606.04
حكشتي-ت,20180704,2608.23
حكشتي-ت,20180707,2604.58
حكشتي-ت,20180708,2579.06
حكشتي-ت,20180710,2565.94
حكشتي-ت,20180711,2563.75
حكشتي-ت,20180714,2563.02
حكشتي-ت,20180715,2563.02
حكشتي-ت,20180716,2563.02
حكشتي-ت,20180717,2563.02
حكشتي-ت,20180718,2563.02
حكشتي-ت,20180721,2511.25
حكشتي-ت,20180722,2493.02
حكشتي-ت,20180723,2496.67
حكشتي-ت,20180724,2485.00
حكشتي-ت,20180725,2471.87
حكشتي-ت,20180726,2471.87
حكشتي-ت,20180727,2471.87
حكشتي-ت,20180728,2484.27
حكشتي-ت,20180729,2453.65
حكشتي-ت,20180730,2443.44
حكشتي-ت,20180731,2402.60
حكشتي-ت,20180801,2404.79
حكشتي-ت,20180804,2406.98
حكشتي-ت,20180805,2401.87
حكشتي-ت,20180806,2433.23
حكشتي-ت,20180807,2447.08
حكشتي-ت,20180808,2447.81
حكشتي-ت,20180811,2487.92
حكشتي-ت,20180812,2487.19
حكشتي-ت,20180813,2483.54
حكشتي-ت,20180814,2465.31
حكشتي-ت,20180815,2462.40
حكشتي-ت,20180818,2455.10
حكشتي-ت,20180819,2397.50
حكشتي-ت,20180820,2390.94
حكشتي-ت,20180821,2400.42
حكشتي-ت,20180825,2401.87
حكشتي-ت,20180826,2406.25
حكشتي-ت,20180827,2404.79
حكشتي-ت,20180828,2402.60
حكشتي-ت,20180829,2399.69
حكشتي-ت,20180901,2502.50
حكشتي-ت,20180902,2619.17
حكشتي-ت,20180903,2589.27
حكشتي-ت,20180904,2479.90
حكشتي-ت,20180905,2487.19
حكشتي-ت,20180908,2506.87
حكشتي-ت,20180909,2621.35
حكشتي-ت,20180910,2608.96
حكشتي-ت,20180911,2538.96
حكشتي-ت,20180912,2645.42
حكشتي-ت,20180915,2776.67
حكشتي-ت,20180916,2800.00
حكشتي-ت,20180917,2778.85
حكشتي-ت,20180918,2853.23
حكشتي-ت,20180922,2994.69
حكشتي-ت,20180923,3144.17
حكشتي-ت,20180924,3300.94
حكشتي-ت,20180925,3465.73
حكشتي-ت,20180926,3688.85
حكشتي-ت,20180929,3849.27
حكشتي-ت,20180930,3849.27
حكشتي-ت,20181001,3946.25
حكشتي-ت,20181002,3749.37
حكشتي-ت,20181003,3561.98
حكشتي-ت,20181006,3491.25
حكشتي-ت,20181007,3319.89
حكشتي-ت,20181008,3176.98
حكشتي-ت,20181009,3282.71
حكشتي-ت,20181010,3142.71
حكشتي-ت,20181013,2991.77
حكشتي-ت,20181014,2948.75
حكشتي-ت,20181015,3096.04
حكشتي-ت,20181016,3250.62
حكشتي-ت,20181017,3250.62
حكشتي-ت,20181020,3250.62
حكشتي-ت,20181021,3558.68
حكشتي-ت,20181022,3725.76
حكشتي-ت,20181023,3624.32
حكشتي-ت,20181024,3461.71
حكشتي-ت,20181027,3441.57
حكشتي-ت,20181028,3460.22
حكشتي-ت,20181029,3590.75
حكشتي-ت,20181031,3523.62
حكشتي-ت,20181103,3597.47
حكشتي-ت,20181104,3563.16
حكشتي-ت,20181105,3597.47
حكشتي-ت,20181106,3660.12
حكشتي-ت,20181110,3660.87
حكشتي-ت,20181111,3513.18
حكشتي-ت,20181112,3566.14
حكشتي-ت,20181113,3553.46
حكشتي-ت,20181114,3528.10
حكشتي-ت,20181117,3444.56
حكشتي-ت,20181118,3369.97
حكشتي-ت,20181119,3411.74
حكشتي-ت,20181120,3521.39
حكشتي-ت,20181121,3503.48
حكشتي-ت,20181124,3346.84
حكشتي-ت,20181126,3182.75
حكشتي-ت,20181127,3291.65
حكشتي-ت,20181128,3187.97
حكشتي-ت,20181201,3097.71
حكشتي-ت,20181202,3188.71
حكشتي-ت,20181203,3212.58
حكشتي-ت,20181204,3218.55
حكشتي-ت,20181205,3311.04
حكشتي-ت,20181208,3384.89
حكشتي-ت,20181209,3356.54
حكشتي-ت,20181210,3384.14
حكشتي-ت,20181211,3362.51
حكشتي-ت,20181212,3325.21
حكشتي-ت,20181215,3284.94
حكشتي-ت,20181216,3151.42
حكشتي-ت,20181217,3078.32
حكشتي-ت,20181218,3112.63
حكشتي-ت,20181219,3070.12
حكشتي-ت,20181222,3037.30
حكشتي-ت,20181223,3049.98
حكشتي-ت,20181224,3142.47
حكشتي-ت,20181225,3146.94
حكشتي-ت,20181226,3084.29
حكشتي-ت,20181229,3117.11
حكشتي-ت,20181230,3116.36
حكشتي-ت,20181231,3100.70
حكشتي-ت,20190101,3070.12
حكشتي-ت,20190102,3074.59
حكشتي-ت,20190105,3066.39
حكشتي-ت,20190106,3079.07
حكشتي-ت,20190107,3076.83
حكشتي-ت,20190108,3053.71
حكشتي-ت,20190109,3114.12
حكشتي-ت,20190112,3263.30
حكشتي-ت,20190113,3316.26
حكشتي-ت,20190114,3288.66
حكشتي-ت,20190115,3277.48
حكشتي-ت,20190116,3270.76
حكشتي-ت,20190119,3281.21
حكشتي-ت,20190120,3223.77
حكشتي-ت,20190121,3084.29
حكشتي-ت,20190122,3196.17
حكشتي-ت,20190123,3227.50
حكشتي-ت,20190126,3233.47
حكشتي-ت,20190127,3198.41
حكشتي-ت,20190128,3191.70
حكشتي-ت,20190129,3202.14
حكشتي-ت,20190130,3204.38
حكشتي-ت,20190202,3164.85
حكشتي-ت,20190203,3035.81
حكشتي-ت,20190204,3079.81
حكشتي-ت,20190205,3091.75
حكشتي-ت,20190206,3086.53
حكشتي-ت,20190210,3065.64
حكشتي-ت,20190212,3062.66
حكشتي-ت,20190213,3075.34
حكشتي-ت,20190216,3089.51
حكشتي-ت,20190217,3073.85
حكشتي-ت,20190218,3037.30
حكشتي-ت,20190219,3050.72
حكشتي-ت,20190220,3068.62
حكشتي-ت,20190223,3129.79
