<TICKER>,<DTYYYYMMDD>,<CLOSE>
شپنا-ت,20180325,944.47
شپنا-ت,20180326,935.73
شپنا-ت,20180327,925.24
شپنا-ت,20180328,918.69
شپنا-ت,20180403,911.70
شپنا-ت,20180404,908.64
شپنا-ت,20180407,904.27
شپنا-ت,20180408,901.43
شپنا-ت,20180409,919.13
شپنا-ت,20180410,956.71
شپنا-ت,20180411,950.59
شپنا-ت,20180415,950.81
شپنا-ت,20180416,939.88
شپنا-ت,20180417,947.09
شپنا-ت,20180418,945.78
شپنا-ت,20180421,954.08
شپنا-ت,20180422,939.88
شپنا-ت,20180423,952.77
شپنا-ت,20180424,968.94
شپنا-ت,20180425,984.23
شپنا-ت,20180428,964.79
شپنا-ت,20180429,967.41
شپنا-ت,20180430,965.44
شپنا-ت,20180501,969.38
شپنا-ت,20180505,953.43
شپنا-ت,20180506,944.69
شپنا-ت,20180507,949.06
شپنا-ت,20180508,961.29
شپنا-ت,20180509,954.74
شپنا-ت,20180512,948.84
شپنا-ت,20180513,942.50
شپنا-ت,20180514,948.84
شپنا-ت,20180515,947.75
شپنا-ت,20180516,946.87
شپنا-ت,20180519,962.39
شپنا-ت,20180520,944.03
شپنا-ت,20180521,935.95
شپنا-ت,20180522,919.78
شپنا-ت,20180523,916.72
شپنا-ت,20180526,892.47
شپنا-ت,20180527,887.45
شپنا-ت,20180528,895.53
شپنا-ت,20180529,905.14
شپنا-ت,20180530,896.84
شپنا-ت,20180602,892.91
شپنا-ت,20180603,893.13
شپنا-ت,20180609,893.13
شپنا-ت,20180610,856.42
شپنا-ت,20180611,854.90
شپنا-ت,20180612,855.11
شپنا-ت,20180613,885.26
شپنا-ت,20180617,929.18
شپنا-ت,20180618,938.35
شپنا-ت,20180619,933.11
شپنا-ت,20180620,979.21
شپنا-ت,20180623,1021.81
شپنا-ت,20180624,1037.10
شپنا-ت,20180625,1087.14
شپنا-ت,20180626,1043.88
شپنا-ت,20180627,1006.52
شپنا-ت,20180630,998.00
شپنا-ت,20180701,951.90
شپنا-ت,20180702,981.83
شپنا-ت,20180703,1017.00
شپنا-ت,20180704,980.30
شپنا-ت,20180707,945.56
شپنا-ت,20180708,946.22
شپنا-ت,20180710,940.10
شپنا-ت,20180711,951.46
شپنا-ت,20180714,941.85
شپنا-ت,20180715,935.95
شپنا-ت,20180716,931.36
شپنا-ت,20180717,924.81
شپنا-ت,20180718,924.81
شپنا-ت,20180721,924.81
شپنا-ت,20180722,924.81
شپنا-ت,20180723,967.37
شپنا-ت,20180724,957.02
شپنا-ت,20180725,1000.99
شپنا-ت,20180726,1000.99
شپنا-ت,20180727,1000.99
شپنا-ت,20180728,1049.90
شپنا-ت,20180729,1032.97
شپنا-ت,20180730,1078.82
شپنا-ت,20180731,1132.67
شپنا-ت,20180801,1175.94
شپنا-ت,20180804,1161.83
شپنا-ت,20180805,1216.15
شپنا-ت,20180806,1274.93
شپنا-ت,20180807,1243.42
شپنا-ت,20180808,1200.86
شپنا-ت,20180811,1192.87
شپنا-ت,20180812,1181.82
شپنا-ت,20180813,1176.64
شپنا-ت,20180814,1203.21
شپنا-ت,20180815,1177.11
شپنا-ت,20180818,1177.82
شپنا-ت,20180819,1189.11
شپنا-ت,20180820,1207.92
شپنا-ت,20180821,1259.18
شپنا-ت,20180825,1277.75
شپنا-ت,20180826,1341.48
شپنا-ت,20180827,1433.89
شپنا-ت,20180828,1298.21
شپنا-ت,20180829,1297.27
شپنا-ت,20180901,1256.36
شپنا-ت,20180902,1235.19
شپنا-ت,20180903,1296.80
شپنا-ت,20180904,1361.46
شپنا-ت,20180905,1395.79
شپنا-ت,20180908,1449.41
شپنا-ت,20180909,1485.85
شپنا-ت,20180910,1567.92
شپنا-ت,20180911,1530.76
شپنا-ت,20180912,1599.66
شپنا-ت,20180915,1633.29
شپنا-ت,20180916,1615.42
شپنا-ت,20180917,1677.49
شپنا-ت,20180918,1680.78
شپنا-ت,20180922,1757.68
شپنا-ت,20180923,1845.38
شپنا-ت,20180924,1930.74
شپنا-ت,20180925,1930.74
شپنا-ت,20180926,1930.74
شپنا-ت,20180929,2127.79
شپنا-ت,20180930,2234.07
شپنا-ت,20181001,2337.77
شپنا-ت,20181002,2240.42
شپنا-ت,20181003,2315.43
شپنا-ت,20181006,2386.21
شپنا-ت,20181007,2334.71
